REG_NO,OWNER_NAME,VEHICLE_TYPE,MODEL_YEAR,CITY,REGISTRATION_DATE
GJ01AB1234,Jash Patel,Car,2020,Ahmedabad,2022-03-15
GJ02CD5678,Rahul Shah,Bike,2017,Surat,2019-06-10
GJ03EF9012,Priya Mehta,Car,2019,Ahmedabad,2021-11-25
GJ04GH3456,Amit Kumar,Truck,2015,Vadodara,2018-07-30
GJ05IJ7890,Neha Joshi,Scooter,2021,Ahmedabad,2023-01-12
GJ06KL2345,Ravi Verma,Car,2018,Rajkot,2020-09-05
GJ07MN6789,Sneha Desai,Bike,2022,Ahmedabad,2024-02-18
GJ08OP1122,Karan Patel,Car,2016,Surat,2017-04-22
GJ09QR3344,Pooja Shah,Scooter,2023,Ahmedabad,2023-08-10
GJ10ST5566,Manish Singh,Truck,2019,Vadodara,2022-05-19
